Country,World_Happiness_Score_2024
Finland,7.74
Denmark,7.58
Iceland,7.53
Sweden,7.34
Netherlands,7.32
Norway,7.3
Luxembourg,7.12
Australia,7.06
Switzerland,7.06
New Zealand,7.03
Costa Rica,6.96
Kuwait,6.95
Austria,6.91
Canada,6.9
Belgium,6.89
Ireland,6.84
Lithuania,6.82
United Kingdom,6.75
Slovenia,6.74
United States,6.73
United Arab Emirates,6.73
Germany,6.72
Mexico,6.68
France,6.61
Uruguay,6.61
Saudi Arabia,6.59
Singapore,6.52
Taiwan,6.5
Romania,6.49
El Salvador,6.47
Estonia,6.45
Poland,6.44
Spain,6.42
Serbia,6.41
Chile,6.36
Panama,6.36
Malta,6.35
Italy,6.32
Guatemala,6.29
Nicaragua,6.28
Brazil,6.27
Slovakia,6.26
Latvia,6.23
Uzbekistan,6.2
Argentina,6.19
Kazakhstan,6.19
Cyprus,6.07
Japan,6.06
South Korea,6.06
Philippines,6.05
Vietnam,6.04
Portugal,6.03
Hungary,6.02
Thailand,5.98
Malaysia,5.98
Paraguay,5.98
China,5.97
Honduras,5.97
Bahrain,5.96
Croatia,5.94
Greece,5.93
Bosnia and Herzegovina,5.88
Libya,5.87
Peru,5.84
Jamaica,5.84
Dominican Republic,5.82
Moldova,5.82
Mauritius,5.82
Russia,5.79
Bolivia,5.78
Ecuador,5.73
Montenegro,5.71
Colombia,5.7
Mongolia,5.7
Venezuela,5.61
Indonesia,5.57
Bulgaria,5.46
Armenia,5.46
South Africa,5.42
North Macedonia,5.37
Algeria,5.36
Hong Kong,5.32
Albania,5.3
Tajikistan,5.28
Mozambique,5.22
Republic of the Congo,5.22
Georgia,5.19
Iraq,5.17
Nepal,5.16
Laos,5.14
Gabon,5.11
Ivory Coast,5.08
Guinea,5.02
Turkey,4.98
Senegal,4.97
Iran,4.92
Azerbaijan,4.89
Nigeria,4.88
Palestine,4.88
Ukraine,4.87
Cameroon,4.87
Namibia,4.83
Morocco,4.8
Pakistan,4.66
Niger,4.56
Burkina Faso,4.55
Mauritania,4.51
Gambia,4.49
Kenya,4.47
Chad,4.47
Tunisia,4.42
Benin,4.38
Uganda,4.37
Myanmar,4.35
Cambodia,4.34
Ghana,4.29
Liberia,4.27
Madagascar,4.23
Mali,4.23
Togo,4.21
Jordan,4.19
India,4.05
Egypt,3.98
Sri Lanka,3.9
Bangladesh,3.89
Ethiopia,3.86
Tanzania,3.78
Comoros,3.57
Yemen,3.56
Zambia,3.5
Eswatini,3.5
Malawi,3.42
Botswana,3.38
Zimbabwe,3.34
DR Congo,3.3
Sierra Leone,3.25
Lesotho,3.19
Lebanon,2.71
Afghanistan,1.72
