track_id,track_name,track_artist,popularity_2023,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity_2025,season,year,period,popularity_categorized
6ZMda6mscE8eRkuwlw8yFB,bedsitter,soft cell,18,1xza4j8vMQdGqqQdHa30lI,non stop erotic cabaret (deluxe edition),1981-12-18,"Maxi Pop  GOLD (New Wave, Electropop, Synth Pop...)",2nRWtTI9a2LWjJ9Wy3JZs5,pop,electropop,0.63,0.526,7,-9.121,1,0.0389,0.316,0.00538,0.0747,0.61,145.271,215333,12,Autumn,1981,1980s,hardly recognizable
4GDmAT5ZZyHdBo32UYDIvM,tainted love,soft cell,53,1xza4j8vMQdGqqQdHa30lI,non stop erotic cabaret (deluxe edition),1981-12-18,Classic Rock Radio,4lIywN6kXl9KPm3OQ8u8G7,rock,classic rock,0.518,0.51,0,-8.057,0,0.0352,0.476,0.0,0.292,0.651,144.543,153880,44,Autumn,1981,1980s,famous
4bnNwCbIo9vxlIpu88KV0K,der mussolini - 1998 - remaster,daf,2,2nQmZO698ZhHOkxUaCZPJS,alles ist gut,1981-03-18,Gothic / Industrial / Mittelalter / EBM / Futurepop / Gothik / Electropop,53CmFroG6MWR5reOOXJX6B,pop,electropop,0.593,0.796,6,-9.404,1,0.0318,0.124,0.494,0.116,0.867,156.308,235107,0,Winter,1981,1980s,hardly recognizable
6KrMDGTp9CtkMLKyftDUTD,wavelength - remastered,van morrison,44,47nhRTYeYBKV5mEfXLV4fb,wavelength,1978-09-18,Classic Rock Retrogamer,6gUFdcGzKAHyDXY9TKC6cP,rock,classic rock,0.541,0.863,0,-6.999,1,0.0703,0.0736,0.00115,0.463,0.522,142.829,346987,22,Summer,1978,1970s,hardly recognizable
3JXOMZdeJ7uMR7UfC3BN5T,top of the bill - live,scorpions,2,3fWEWigB3tgsGAUN4kNIKf,tokyo tapes (50th anniversary deluxe edition),1978-08-18,This Is Scorpions,37i9dQZF1DWViGKI2U5P2K,rock,hard rock,0.365,0.895,3,-6.118,0,0.129,0.00445,0.675,0.913,0.232,142.665,407333,0,Summer,1978,1970s,hardly recognizable
2ccUQnjjNWT0rsNnsBpsCA,surrender,cheap trick,69,5w20U3G3GyWiPvvDeVzkhN,heaven tonight,1978-04-18,The Sound of Album Rock,3yj9YnQGTdnFuKbDyXGDi6,rock,album rock,0.524,0.955,0,-7.081,1,0.0411,0.00717,8.77e-06,0.659,0.869,133.849,253733,67,Spring,1978,1970s,hit
2ccUQnjjNWT0rsNnsBpsCA,surrender,cheap trick,69,5w20U3G3GyWiPvvDeVzkhN,heaven tonight,1978-04-18,Classic Rock Legends,3NcxM1LJJdua8AcRxtijNY,rock,classic rock,0.524,0.955,0,-7.081,1,0.0411,0.00717,8.77e-06,0.659,0.869,133.849,253733,67,Spring,1978,1970s,hit
4vtraETxj6q2K58am1KLrT,surrender,cheap trick,0,6spHqr7JI2v54Heo05fKXy,heaven tonight,1978-04-18,70s Hard Rock,6pZlZ20vt3aDjIKw98aBtQ,rock,hard rock,0.524,0.955,0,-7.081,1,0.0411,0.00717,8.77e-06,0.659,0.869,133.849,253733,0,Spring,1978,1970s,hardly recognizable
3qxBN4nWvSDibXmEq5of9E,imaginary lover,atlanta rhythm section,42,73BvB7c3P28ZAGtng7IMCt,champagne jam,1978-01-18,Soft Rock Drive,37i9dQZF1DX6TIU4D13lOY,rock,classic rock,0.598,0.374,9,-14.085,0,0.0259,0.383,0.548,0.128,0.413,109.499,307467,51,Winter,1978,1970s,famous
1JkZg3eMQTmTn93E8Yd3UL,i want you to want me,cheap trick,70,2sXJQdHykPYcRQ7xFhwzMR,in color,1977-09-18,Classic Rock Drive,37i9dQZF1DXdOEFt9ZX0dh,rock,classic rock,0.806,0.462,2,-12.778,1,0.0298,0.78,0.0134,0.15,0.736,92.726,191227,66,Summer,1977,1970s,hit
02eF5vF3ASltFpWHDVWkdQ,i want you to want me,cheap trick,0,1QwSRtqQHtv6yWyuIZqnWl,cheap trick/in color/heaven tonight (3 pak),1977-02-18,80s / Classic Rock,29dTrOurPDrMcrnio2q6hZ,rock,classic rock,0.806,0.462,2,-12.778,1,0.0298,0.78,0.0134,0.15,0.736,92.726,191227,0,Winter,1977,1970s,hardly recognizable
3Sm5TYFgMXyXwgAcY2xweX,so into you,atlanta rhythm section,54,5vC0MxBXL4i9iowdXSx4yO,a rock and roll alternative,1976-12-18,The Sound of Album Rock,3yj9YnQGTdnFuKbDyXGDi6,rock,album rock,0.622,0.409,5,-13.484,0,0.0362,0.65,0.023,0.142,0.785,86.175,260867,63,Autumn,1976,1970s,hit
3Sm5TYFgMXyXwgAcY2xweX,so into you,atlanta rhythm section,54,5vC0MxBXL4i9iowdXSx4yO,a rock and roll alternative,1976-12-18,Soft Rock Drive,37i9dQZF1DX6TIU4D13lOY,rock,classic rock,0.622,0.409,5,-13.484,0,0.0362,0.65,0.023,0.142,0.785,86.175,260867,63,Autumn,1976,1970s,hit
41aOyMZXFwvwRpugIlNCGF,ramblin' man,the allman brothers band,15,4KZmerCJZ3z0sRoA4sArbm,brothers and sisters (deluxe edition),1973-09-18,Classic Rock Drive,37i9dQZF1DXdOEFt9ZX0dh,rock,classic rock,0.311,0.832,1,-8.29,1,0.0357,0.486,0.00128,0.235,0.933,178.873,288160,0,Summer,1973,1970s,hardly recognizable
2Q7LpkYrS0PBpoq3iCqypa,ramblin' man,the allman brothers band,16,1n9rbMLUmrXBBBJffS7pDj,brothers and sisters (deluxe edition),1973-09-18,Supernatural Classic Rock,6oghIlByD49KFGNmNU8GSH,rock,classic rock,0.309,0.831,1,-8.288,1,0.036,0.488,0.00304,0.286,0.934,181.145,288160,2,Summer,1973,1970s,hardly recognizable
3K0SJUQNbOkUprTFcwwAKN,jungle boogie,kool & the gang,63,3MRgojA0LfPka4RG7aRjsI,wild and peaceful,1973-09-18,The 1950s/1960s/1970s/1980s/1990s/2000s/2010s with pop/r&b/soul/boogie/dance/jazz/hip hop/hop/rap.,1S7BckuYIkEazeNKOSM0uA,r&b,urban contemporary,0.808,0.85,5,-8.772,1,0.0868,0.115,0.000109,0.316,0.717,106.855,186533,62,Summer,1973,1970s,hit
6igsoAR6Co9u7Rq3U7mlOD,hollywood swinging,kool & the gang,54,3MRgojA0LfPka4RG7aRjsI,wild and peaceful,1973-09-18,The 1950s/1960s/1970s/1980s/1990s/2000s/2010s with pop/r&b/soul/boogie/dance/jazz/hip hop/hop/rap.,1S7BckuYIkEazeNKOSM0uA,r&b,urban contemporary,0.623,0.824,6,-8.971,0,0.0479,0.0195,0.13,0.0491,0.574,111.356,279933,57,Summer,1973,1970s,famous
0iPy1MWCrOT7SjGs14zSSv,keep your head to the sky,"earth, wind & fire",46,01c1PLpIdfwy47yid7GqKB,head to the sky,1973-05-18,Gospel,0pItJZBDZFvgAOdFnSITnJ,r&b,urban contemporary,0.525,0.476,9,-13.202,0,0.0531,0.0321,0.0,0.566,0.37,88.943,311080,44,Spring,1973,1970s,famous
3UsbGR71AjcBYOWoUlfTdm,statesboro blues,the allman brothers band,35,4RbjXWZ3uTRGP3DRT6nvKz,the 1971 fillmore east recordings,1971-07-18,Hard Rock Cafe Classics,3sv5ViKoPDNnZRsklzEGMN,rock,hard rock,0.467,0.669,2,-9.399,1,0.0559,0.137,0.00933,0.835,0.673,126.917,284480,42,Summer,1971,1970s,famous
4jkn5PRfAJoKfXF0OPL7n7,that's the way i've always heard it should be,carly simon,45,2cuqP3kLRSgnjDmAN7SHA9,carly simon,1971-03-18,70s Pop & Rock Hits and Deep Tracks,1uKFRCQYci8kVgMy3xzTVH,rock,album rock,0.4,0.0897,0,-19.012,1,0.0288,0.938,0.000521,0.0847,0.24,70.387,258133,46,Winter,1971,1970s,famous
683b4ikwa62JevCjwrmfg6,moondance - 2013 remaster,van morrison,69,7diHYi0CglGJekoM3KaWBK,moondance (deluxe edition),1970-02-18,I didn’t know perm stood for permanent (wave),3e6gYPyrTbaB8BWgSHCt5j,rock,permanent wave,0.606,0.282,9,-12.207,0,0.0339,0.501,8.3e-06,0.152,0.563,67.409,274040,67,Winter,1970,1970s,hit
683b4ikwa62JevCjwrmfg6,moondance - 2013 remaster,van morrison,69,7diHYi0CglGJekoM3KaWBK,moondance (deluxe edition),1970-02-18,Sexy Soul 2020,5EMARioe9z9eKOeWIAC2JW,r&b,neo soul,0.606,0.282,9,-12.207,0,0.0339,0.501,8.3e-06,0.152,0.563,67.409,274040,67,Winter,1970,1970s,hit
3yrSvpt2l1xhsV9Em88Pul,brown eyed girl,van morrison,79,7dsWupQRlFuhG8FGiQAUjC,blowin' your mind!,1967-09-18,Southern Soul BBQ Mix,3nTS97zUqxJBQeiXNRs963,rap,southern hip hop,0.491,0.583,7,-10.964,1,0.0376,0.182,0.0,0.407,0.907,150.572,183307,63,Summer,1967,1960s,hit
3yrSvpt2l1xhsV9Em88Pul,brown eyed girl,van morrison,79,7dsWupQRlFuhG8FGiQAUjC,blowin' your mind!,1967-09-18,House Of The Rising Sun,1bMYfBHYBCRHY5LGkjlpSy,rock,album rock,0.491,0.583,7,-10.964,1,0.0376,0.182,0.0,0.407,0.907,150.572,183307,63,Summer,1967,1960s,hit
3yrSvpt2l1xhsV9Em88Pul,brown eyed girl,van morrison,79,7dsWupQRlFuhG8FGiQAUjC,blowin' your mind!,1967-09-18,Classic Rock Legends,3NcxM1LJJdua8AcRxtijNY,rock,classic rock,0.491,0.583,7,-10.964,1,0.0376,0.182,0.0,0.407,0.907,150.572,183307,63,Summer,1967,1960s,hit
4XP7yeRNVAR3sAmgK0ZX9k,brown eyed girl,van morrison,2,1SGveypuDZtRrDUcB3f5kA,blowin' your mind!,1967-09-18,Classic Rock Greatest Hits,6TeyryiZ2UEf3CbLXyztFA,rock,classic rock,0.491,0.583,7,-10.964,1,0.0376,0.182,0.0,0.407,0.907,150.572,183307,0,Summer,1967,1960s,hardly recognizable
1JO1xLtVc8mWhIoE3YaCL0,happy together,the turtles,74,2pMxs38Y5A0mmHrcu3twvB,happy together,1967-04-18,Classic Rock Greatest Hits,6TeyryiZ2UEf3CbLXyztFA,rock,classic rock,0.584,0.367,6,-9.638,0,0.0328,0.55,1.38e-05,0.0818,0.588,120.175,176293,75,Spring,1967,1960s,hit
4RGxUjaCmVtD30pIhtEi7w,sunshine superman,donovan,59,2ULhVPvdhT7RREnqRWM06G,sunshine superman,1966-09-18,70's Classic Rock,76lrxCrKrGDkDDf3SVPnl3,rock,classic rock,0.629,0.677,1,-7.239,1,0.0299,0.122,9.72e-06,0.0962,0.627,132.783,195000,55,Summer,1966,1960s,famous
61Q9oJNd9hJQFhSDh6Qlap,house of the rising sun,the animals,60,0h5qS8o0dAoPfj6bLg3z3Y,the best of the animals,1966-02-18,House Of The Rising Sun,1bMYfBHYBCRHY5LGkjlpSy,rock,album rock,0.315,0.534,9,-7.552,0,0.031,0.000825,0.108,0.101,0.283,116.89,269720,59,Winter,1966,1960s,famous
