,track_name,track_id,popularity_score,artist_name,artist_id
0,اليوم الحلو ده,2HbrI0oakRE7qNXoK74zNR,61,['Ahmed Saad'],['5D2ui1KD49TfyCDb35zf5V']
1,RS6,6EqhAlO3OAirPbd1kwIbBX,67,"['DYSTINCT', 'Morad']","['1cKyknhftNKXCjMBd2hDrG', '4az97MtWmBQ5Db3GfDh9j9']"
2,Baba,1GkBG6kv0tDEDALIG7NR2K,70,['Amr Diab'],['5abSRg0xN1NV3gLbuvX24M']
3,PRINCESSA,5bslggBfmWaSyxIiVTgQjd,60,"['DYSTINCT', 'Jul']","['1cKyknhftNKXCjMBd2hDrG', '3IW7ScrzXmPvZhB27hmfgy']"
4,YA BABA,48l6xps5kWSsxtYdXHgz0Y,60,"['DYSTINCT', 'French Montana']","['1cKyknhftNKXCjMBd2hDrG', '6vXTefBL93Dj5IqAWq6OTv']"
5,Tik Tik,0zXIZ3cuzZmfd1bS6cVNbY,45,"['DYSTINCT', 'Vishal Mishra', 'Jacqueline Fernandez', 'Tanishk Bagchi', 'Kumaar', 'Amrita Sen', 'YAM', 'Unleaded']","['1cKyknhftNKXCjMBd2hDrG', '5wJ1H6ud777odtZl5gG507', '3HrBxG64scPxP1mrTmZxM6', '4f7KfxeHq9BiylGmyXepGt', '0m3D4grap8VFSzbJMqgNVk', '21n4V78skCmFZRgMxtLic0', '7KpyU32bL0qN4pY9wNSu7E', '3zWMcT8MOIAnQMbGFmMFun']"
6,BOSS,1kaxixqEIs3Z5KEWw6AA0a,60,"['No Limit', 'DYSTINCT', 'Werenoi', 'DJ Milane']","['2Ns3GuAU2LYllDr7z20d0e', '1cKyknhftNKXCjMBd2hDrG', '3YBJLs7RqR0aPGBgU27nDh', '51VUv5NmNQEO5TMGEaUXAJ']"
7,Khatfoony,3ptVro4saZIK2M6J8fIoEg,70,"['Amr Diab', 'Orange', 'Jana Diab']","['5abSRg0xN1NV3gLbuvX24M', '2xlHEDzOINtGVm6XQ9pn3W', '04U5nHCnl5ykOPWVrfHHZq']"
8,Riskin,56IorzyHLSO5drWwqI6R8N,47,['Saad Lamjarred'],['0NjXtqYWpnV055KhfZgtuY']
9,SEYA,0Fyqe4e5VjCaFjNSNYWa25,68,"['GIMS', 'SativaMusic', 'Morad']","['0GOx72r5AAEKRGQFn3xqXK', '6p46LxMXeRu3FRYN4tK5Lv', '4az97MtWmBQ5Db3GfDh9j9']"
