,name,album_name,release_date,popularity,duration_ms,explicit
0,Ona Tańczy Dla Mnie,Weekend - Największe hity Disco Polo,1/21/2025,13,237865,FALSE
1,Za Każdą Chwilę z Tobą,Weekend - Największe hity Disco Polo,1/21/2025,13,270341,FALSE
2,Jesteś Zajebista,Weekend - Największe hity Disco Polo,1/21/2025,12,238288,FALSE
3,Wisienka 2k24,Weekend - Największe hity Disco Polo,1/21/2025,20,234000,FALSE
4,Mój Aniele,Weekend - Największe hity Disco Polo,1/21/2025,36,217573,FALSE
5,Męska Rzeczywistość,Weekend - Największe hity Disco Polo,1/21/2025,10,267964,FALSE
6,Za Miłość Mą,Weekend - Największe hity Disco Polo,1/21/2025,34,213603,FALSE
7,Ona i On,Weekend - Największe hity Disco Polo,1/21/2025,10,273110,FALSE
8,"Wypijemy, Popłyniemy",Weekend - Największe hity Disco Polo,1/21/2025,33,179397,FALSE
9,Moje Słońce,Weekend - Największe hity Disco Polo,1/21/2025,28,206731,FALSE
10,Będziesz na Zawsze,Weekend - Największe hity Disco Polo,1/21/2025,27,215624,FALSE
11,Tak Bardzo Chcę Być z Tobą,Weekend - Największe hity Disco Polo,1/21/2025,15,216500,FALSE
12,Dałem Ci Kwiaty,Weekend - Największe hity Disco Polo,1/21/2025,12,197405,FALSE
13,Żonkoś,Weekend - Największe hity Disco Polo,1/21/2025,8,191999,FALSE
14,Zniosłem Tyle Kłamstw,Weekend - Największe hity Disco Polo,1/21/2025,13,203023,FALSE
15,Deja Vu,Weekend - Największe hity Disco Polo,1/21/2025,8,282226,FALSE
16,Zostań na Noc,Weekend - Największe hity Disco Polo,1/21/2025,12,206262,FALSE
17,Gdy Śliczna Panna - Original,Święta z Radkiem,11/16/2013,4,196000,FALSE
18,"Hej Kolęda, Kolęda - Original",Święta z Radkiem,11/16/2013,7,153000,FALSE
19,Pójdźmy Wszyscy do Stajenki - Original,Święta z Radkiem,11/16/2013,3,151000,FALSE
20,Lulajże Jezuniu - Original,Święta z Radkiem,11/16/2013,2,218639,FALSE
21,Przybieżeli do Betlejem - Original,Święta z Radkiem,11/16/2013,3,161796,FALSE
22,Bóg Się Rodzi - Original,Święta z Radkiem,11/16/2013,1,196000,FALSE
23,Wśród Nocnej Ciszy - Original,Święta z Radkiem,11/16/2013,2,215000,FALSE
24,Gdy Się Chrystus Rodzi - Original,Święta z Radkiem,11/16/2013,1,255233,FALSE
25,Cicha Noc - Original,Święta z Radkiem,11/16/2013,1,189000,FALSE
26,Jezus Malusieńki - Original,Święta z Radkiem,11/16/2013,2,159381,FALSE
27,Ona Tańczy Dla Mnie,Ona Tańczy Dla Mnie,11/10/2012,53,237897,FALSE
28,Za Każdą Chwilę z Tobą,Ona Tańczy Dla Mnie,11/10/2012,51,270341,FALSE
29,Męska Rzeczywistość,Ona Tańczy Dla Mnie,11/10/2012,33,267964,FALSE
30,Zakochani Wciąż jak Nikt,Ona Tańczy Dla Mnie,11/10/2012,14,286537,FALSE
31,Moje Miasto Nigdy Nie Śpi,Ona Tańczy Dla Mnie,11/10/2012,24,235102,FALSE
32,Słodki jak Wisienka,Ona Tańczy Dla Mnie,11/10/2012,18,293172,FALSE
33,Męska Rzeczywistość - Studio Fox,Ona Tańczy Dla Mnie,11/10/2012,8,290037,FALSE
34,Za Każdą Chwilę z Tobą (V - Project),Ona Tańczy Dla Mnie,11/10/2012,29,212035,FALSE
35,Ona Tańczy Dla Mnie - Davis Rmx,Ona Tańczy Dla Mnie,11/10/2012,7,273580,FALSE
36,Ona Tańczy Dla Mnie - Extended,Ona Tańczy Dla Mnie,11/10/2012,12,263915,FALSE
37,Oceniam Namierzam,Tak jak Czuję,9/3/2010,11,214177,FALSE
38,Złą Opinię Mam,Tak jak Czuję,9/3/2010,45,202997,FALSE
39,Jesteś Zajebista,Tak jak Czuję,9/3/2010,47,238288,FALSE
40,Ona i On,Tak jak Czuję,9/3/2010,23,273110,FALSE
41,Spowiedź,Tak jak Czuję,9/3/2010,5,303151,FALSE
42,Noce dla Ciebie,Tak jak Czuję,9/3/2010,9,254824,FALSE
43,Żonkoś - Studio Fox 2010,Tak jak Czuję,9/3/2010,12,270968,FALSE
44,Deja Vu - Car Edit,Tak jak Czuję,9/3/2010,4,282226,FALSE
45,Wichura,Tak jak Czuję,9/3/2010,3,215902,FALSE
46,Mój Anioł,Tak jak Czuję,9/3/2010,5,223425,FALSE
47,Dla Ciebie,Tak jak Czuję,9/3/2010,4,286563,FALSE
48,Złą Opinię Mam - Karaoke,Tak jak Czuję,9/3/2010,5,201482,FALSE
49,Spowiedź - Karaoke,Tak jak Czuję,9/3/2010,2,301662,FALSE
50,Żonkoś - Karaoke,Tak jak Czuję,9/3/2010,2,271516,FALSE
51,Wisienka 2k24,Wisienka 2k24,12/23/2024,20,234000,FALSE
52,Tak Bardzo Chcę Być z Tobą,Tak Bardzo Chcę Być z Tobą,6/16/2023,6,216500,FALSE
53,Muzykę w duszy mamy,Muzykę w duszy mamy,12/24/2022,34,197332,FALSE
54,Maruda,Maruda,9/14/2022,5,178256,FALSE
55,Żonkoś,Żonkoś,6/16/2022,8,191999,FALSE
56,Słodka Jak Cukierek,Słodka Jak Cukierek,10/3/2019,16,209760,FALSE
57,Moje Słońce,Moje Słońce,4/5/2019,15,206731,FALSE
